tieu_de,mo_ta,dien_tich_dat,dien_tich_su_dung,chieu_ngang,tong_so_tang,so_phong_ngu,loai_hinh,giay_to_phap_ly,tinh_trang_noi_that,huong_cua_chinh,dac_diem,dia_chi_cu,dia_chi_moi,gia_ban
"Hiếm, Hẻm Xe Hơi,~40m2,nhà 2tầng Bạch Đằng,gần trường học,","-Nhà Bạch Đằng, Bình Thạnh 
-Diện tích ~ 40m2 


XE HƠI  ĐẾN TẬN CỬA NHÀ 

🧱 Kết cấu : 2 tầng . PK - Bếp - PN -2 WC
Bê tông cốt thép chắc chắn có thể lên tầng.

Cách vài bước chân đến trường học 
Cách vài bước chân ra đường lớn Bạch Đằng 
Thuận tiện đi khắp các quận 
📍Vị trí Chợ Bà Chiểu, Ngã tư Hàng Xanh ...
📙 SHR , vuông A4 - HCĐ - công chứng nhanh",40.0,40.0,3.0,2.0,2.0,nha_ngo_hem,da_co_so,chua_xac_dinh,dong_bac,hem_xe_hoi,phuong_15_quan_binh_thanh,phuong_gia_dinh,5.45
"Nhà riêng đất sổ hồng 41,3 m2 đường Hoàng Hoa Thám , P Gia Định","Nhà hẻm 105 đường Hoàng Hoa Thám, Phường Gia Định , TP HCM. Nhà có sổ hồng riêng diện tích đất 41,3 m2 . Hiện tại có nhà 1 trệt , 2 lầu , 1 phòng khách , 2 phòng ngủ đang ở và 1 căn nhà ở cấp 4 gồm trệt , gác lửng đang cho thuê .
Khu vực an ninh , yên tĩnh cách trung tâm quận 1 cũ 1 km , gần trường học, bệnh viện, siêu thị , ... giao thông đi lại thuận tiện phù hợp ở, hoặc vừa ở vừa làm văn phòng nhỏ. Giấy tờ sổ hồng riêng , pháp lý rõ ràng .
Giá : 6,800,000,000 VND",41.3,67.6,3.7472656697917746,3.0,3.0,nha_ngo_hem,da_co_so,noi_that_day_du,tay_bac,hien_trang_khac,phuong_6_quan_binh_thanh,phuong_binh_loi_trung,6.8
Nhà bán bình thạnh,"💢 Nhà Bình Thạnh.đường Huỳnh Đình Hai . HCM

+ 1 trệt, 1 lửng, 1 phòng ngủ, 1 toilet.

👉 Khu vực gần chợ Bà Chiểu, gần Bệnh Viện Gia Định , có rất nhiều tiện ích xung quanh, gần TRUNG TÂM Q.1 

+ sổ hồng riêng

☎️ *** A. Hùng",31.0,31.0,2.5833333333333335,2.0,1.0,nha_ngo_hem,da_co_so,hoan_thien_co_ban,nam,hien_trang_khac,phuong_24_quan_binh_thanh,phuong_binh_thanh,2.7
"Bán 53m2 đất cư xá Phan Đăng Lưu, phường 3","Bán đất cư xá Phan Đăng Lưu, phường 3, Quận Bình Thạnh.

- Diện tích: 3m x 18m, CN 53m² đất vuông vức, phong thủy tốt.

- Hiện trạng: Đất trống, tiện xây mới. Khu dân cư yên tĩnh, an ninh, thuận tiện di chuyển ra Phan Đăng Lưu - Nơ Trang Long - Bạch Đằng.

- Tiềm năng: Vị trí trung tâm Bình Thạnh, thích hợp xây mới nhà phố, căn hộ mini hoặc đầu tư cho thuê lâu dài.

- Giá bán: 6 tỷ 500 triệu TL
LH: PHAN QUÂN nhà chính chủ",53.0,53.0,2.864864864864865,2.0,1.0,nha_ngo_hem,da_co_so,chua_xac_dinh,bac,nha_nat,phuong_3_quan_binh_thanh,phuong_gia_dinh,6.5
CHỦ BÁN GẤP,"HẺM XE HƠI - KHU NGUYỄN VĂN ĐẬU BÌNH THẠNH - 31m2 (4.1 x 7.5) - 2 TẦNG - 3PHÒNG NGỦ (1PN TRỆT) - 5.xx (x mini)

Ảnh tự chụp.",31.0,93.0,4.133333333333334,2.0,3.0,nha_ngo_hem,da_co_so,noi_that_day_du,tay,hem_xe_hoi,phuong_11_quan_binh_thanh,phuong_binh_loi_trung,5.8
Nhà Nhỏ mới Xây Dựng Tặng Hết Nội Thất,"Nhà mới xây tặng toàn bộ nội thất
Khu dân trí hẻm cụt yên tĩnh.
Miễn Quảng Cáo",15.0,30.0,2.5,1.0,2.0,nha_ngo_hem,da_co_so,noi_that_cao_cap,dong_bac,hien_trang_khac,phuong_11_quan_binh_thanh,phuong_binh_loi_trung,2.35
[2ty340 ] ĐẦY ĐỦ NỘI THẤT_HẺM RỘNG_ TT BÌNH THẠNH,"[Nơ Trang Long_Bình Thạnh ]

+ Full Nội Thất Mới như hình
+ TT Bình Thạnh
+ 2 Không Gian Ngủ_2WC
+ Hẻm Rộng thoáng

✨️Giá chủ chào bán: 2ty340 (thương lượng chính chủ) 

📲 GỌI XEM NHÀ NGAY: *** (Call,Zalo) 
#nhadatquanbinhthanh #nhaphobinhthanh #nhadepquanbinhthanh #TungBinhThanh",12.5,30.0,2.0615528128088303,2.0,2.0,nha_ngo_hem,da_co_so,noi_that_day_du,tay,hien_trang_khac,phuong_11_quan_binh_thanh,phuong_binh_loi_trung,2.34
[ 4 TẦNG ] SÂN THƯỢNG VIEW LANDMARK_ KHU SẦM UẤT BÙI ĐÌNH TÚY,"4 TẦNG - VIEW LANDMARK

[ Bùi Đình Tuý_ Bình Thạnh ]

✅️ 4 Tầng
✅️ Trệt + 2 lầu + sân thượng
✅️ 2PN_ 3WC_phòng khách và bếp, tầng trệt, sân thượng rộng, view Landmark 81
✅️ SHR_Công chứng ngay

✨️Giá chủ chào bán: 3ty940 (thương lượng chính chủ) 

📲 GỌI XEM NHÀ NGAY: *** (Call,Zalo) 
#nhadatquanbinhthanh #nhaphobinhthanh #nhadepquanbinhthanh #TungBinhThanh",22.8,92.0,2.7842413688471765,4.0,2.0,nha_ngo_hem,da_co_so,noi_that_day_du,tay,hien_trang_khac,phuong_12_quan_binh_thanh,phuong_binh_thanh,3.94
Chính chů bán nhà băch đăng bình thanh,"- Bán nhà 4 tâng chính chů bình thanh 
- Giá : 5 ty 200 tr thương lương 
- Kêt câu : 1 trêt 3 lâu 1 chuôn cu trên sân thương 
- Gôm : 5 phòng ngu 4 vê sinh 
- DT : 2m10 x 12m nơ hâu 4m90 
Dtcn 35m dtsn 113m1 sàn bê tông côt thép 
- Vi trí : nhà hem xe hơi cách măt tiên 5m hem thông thoang khu an ninh yên tinh 
- Giá : 5 ty 200 tr thương lương 
LH : *** xem nhà trưc tiêp chu",35.0,113.1,2.9166666666666665,4.0,5.0,nha_ngo_hem,da_co_so,chua_xac_dinh,dong_bac,nha_no_hau,phuong_24_quan_binh_thanh,phuong_binh_thanh,5.2
"🍀🍀NHÀ ĐƯỜNG Ô TÔ-SÁT BV GIA ĐỊNH-BÌNH THẠNH-20m2 - 2 TẦNG -3,99TỶ","🍀🍀NHÀ ĐƯỜNG Ô TÔ-SÁT BV GIA ĐỊNH-BÌNH THẠNH-20m2 - 2 TẦNG -3,99TỶ 
➕DT:3,8❌6-1 Trệt ,1 lầu, 2 Phòng Ngủ 2Wc 
➕ Ngay Bệnh viện Gia định, Ung Bứu, gần Mặt tiền PHAN đăng lưu– khu dân cư hiện hữu
➕Nội thất đầy đủ, khách chỉ việc xách vali vào ở!
🚘Hẻm sạch sẽ An ninh, dân trí cao
📖 Sổ hồng riêng
➕3 ,99 tỷ (TL)
☎️LH:Sơn.***",20.0,28.0,3.3333333333333335,2.0,2.0,nha_ngo_hem,da_co_so,noi_that_cao_cap,nam,hem_xe_hoi,phuong_7_quan_binh_thanh,phuong_gia_dinh,3.99
"🔥🔥LÊ QUANG ĐỊNH-40M2-2LẦU-5,35TỶ-HXH","🔥🔥LÊ QUANG ĐỊNH-40M2-2LẦU-5,35TỶ-HXH
 -3,3x12m-2 lầu 
 -2PN ,2 wc .Tặng hết nội thất 
 -Sổ Hồng 
 -5,35 tỷ (TL)
☎️LH:Sơn.***",40.0,40.0,3.3333333333333335,2.0,2.0,nha_ngo_hem,da_co_so,noi_that_cao_cap,dong,hem_xe_hoi,phuong_5_quan_binh_thanh,phuong_binh_loi_trung,5.35
Siêu hiếm P.6 Bán CHDV 3 tầng 57m2 - Hẻm xe hơi dòng tiền 35tr/tháng,"Vị trí Hoàng Hoa Thám P.6 Bình Thạnh
+ Diện tích: 3.8m x 15m
+ Kết cấu: 3 tầng đúc BTCT. Gồm 7CHDV khép kín. Đang cho thuê khoán 17đ/tháng. Tự khai thác 35-40đ/tháng
+ Hẻm xe hơi đến nhà. Khu trung tâm tiện ích bao quanh 
Miễn tiếp môi giới",57.0,150.0,3.8,3.0,7.0,nha_ngo_hem,da_co_so,noi_that_day_du,nam,hem_xe_hoi,phuong_6_quan_binh_thanh,phuong_binh_loi_trung,6.99
NHÀ GẦN CHỢ BÀ CHIỂU VÀ SÂN BAY NHỈN 5TY,"HẺM THÔNG LÊ QUANG ĐỊNH – F1 GÒ VẤP, GIÁP PHẠM VĂN ĐỒNG – 3 TẦNG – TDTXD cở 120 bM² –
💰💰GIÁ 5ty390
Kết cấu: Nhà 3 tầng, 3PN, 3WC
DIỆN TÍCH : 4x10
💙Vị trí: Lê Quang Định, P.1 Gò Vấp, giáp Phạm Văn Đồng
Hẻm thông, cách hẻm xe hơi vài căn
💙Khu vực: Dân trí",40.0,120.0,4.0,3.0,3.0,nha_ngo_hem,da_co_so,noi_that_cao_cap,tay_nam,nha_no_hau,phuong_1_quan_binh_thanh,phuong_gia_dinh,5.39
"💥💥💥HOÀNG HOA THÁM-3 TẦNG BTCT -3,98 TỶ.","💥💥💥HOÀNG HOA THÁM-3 TẦNG BTCT -3,98 TỶ.
➕Vị trí: Khu Vip kế bên Phan Đăng Lưu, gần trường học ,siêu thị, chợ, bệnh viện
➕Cách 15m ra hẻm xe hơi
➕Kết cấu: Trệt, 2 lầu BTCT ,2PN, 3WC, PK,ban công ,Thiết kế hiện đại,full nội thất 
➕Diện tích: 19m² (3.8x5) Dtsd:60m2
➕Sổ Hồng chính chủ 
➕Giá: 3.98 tỷ (TL)
☎️LH:Sơn.***",19.0,19.0,3.8,3.0,2.0,nha_ngo_hem,da_co_so,noi_that_cao_cap,dong,hem_xe_hoi,phuong_7_quan_binh_thanh,phuong_gia_dinh,3.98
"Bán nhà 2 tầng Phan Văn Trị,P.14,Bình Thạnh,Diện tích 57m2,Hẻm Thông","-Bán nhà 2 tầng Phan Văn Trị,P.14, Bình Thạnh 

SIÊU PHẨM PHAN VĂN TRỊ PHƯỜNG BÌNH THẠNH
- HẺM THÔNG - 20M RA MẶT TIỀN 
- 3PN MỚI ĐẸP FULL NỘI THẤT 
- SỔ Vuông A4 
+ Ngay Phan Văn Trị, Phường Bình Thạnh. Giáp Lê Quang Định, Nơ Trang Long, xung quanh trường học các cấp, bệnh viện, chợ Bà Chiểu, đầy đủ mọi tiện ích.
+ Hẻm thông, trước nhà 2.5m, sạch sẽ, vài bước ra mặt tiền.
+ Diện tích SD 57m2.
+ Kết cấu: Trệt, lầu BTCT kiên cố. Gồm 3PN (Có 1PN dưới trệt cho người lớn tuổi), 2WC, PK + bếp mở, ban công cực rộng rãi.
+ Tặng Full nội thất hiện đại: Sofa, máy lạnh, chăn ga nệm, tủ kệ, bàn trang điểm...chủ mới xách vali vào ở.
+ Khu dân cư hiện hữu, ko quy hoạch, hàng xóm cao tầng, an ninh, yên tĩnh.
+ Pháp lý sạch, hoàn công đủ, sổ A4, công chứng ngay.",57.0,57.0,4.402272140611028,2.0,3.0,nha_ngo_hem,da_co_so,chua_xac_dinh,tay_nam,hien_trang_khac,phuong_14_quan_binh_thanh,phuong_binh_thanh,5.1
"NHÀ XÔ VIẾT NGHỆ TĨNH58m2,P26,Ngay Trung Tâm thuận tiện đi lại","Bán nhà Xô Viết Nghệ Tĩnh, Phường 26 Bình Thạnh,
Mô tả:- 
-Khu vip Bình Thạnh gần các trường Đại học lớn tiện ích vô vàn.
- Nhà trệt còn mới ở ngay với 1PK, 1PN, 1 bếp, sân để xe.
-Thuận tiện di chuyển các quận trung tâm 
 Khách mua xác định mua đất tặng nhà để xây mới theo ý thích.",58.0,58.0,4.440720662234903,1.0,1.0,nha_ngo_hem,da_co_so,chua_xac_dinh,nam,hien_trang_khac,phuong_26_quan_binh_thanh,phuong_binh_thanh,4.95
"Ngang 4m,SHR,2 tầng Nguyễn Văn Đậu,chỉ 5tỷ TL","-Bán nhà 2 tầng Nguyễn Văn Đậu 32,4m2,P5, Bình Thạnh 
- Diện tích thực tế: 32.4m2 tầng 1 trệt 1 lầu suốt đúc giả chắc chắn, tổng cộng 1PN có thể cải tạo 2PN, phòng khách,
- Giá 5,5 tỷ 

GẦN MẶT TIỀN 
🍀 DT CÔNG NHẬN ĐỦ 
🍀 VUÔNG VỨC 
🍀 NỞ HẬU 
🍀 HOÀN CÔNG

+ Hẻm rộng rãi, sạch sẽ
+ Vị trí đắc địa ngay ngã tư Nguyễn Văn Đậu và Hoàng Hoa Thám, khu sầm uất, tiện ích xung quanh không thiếu thứ gì.
+ Sổ hồng riêng, vuông vức, hoàn công.
Liên hệ *** Kim Quí",32.4,32.4,3.3190360046254392,2.0,2.0,nha_ngo_hem,da_co_so,chua_xac_dinh,dong_nam,nha_no_hau,phuong_5_quan_binh_thanh,phuong_binh_loi_trung,5.5
"Hẻm XH,3 tầng,4PN,sát đường lớn XVNT,Dt:30m2,4PN,Nhỉnh 5t,TL","- Nhà 3 tầng xô viết nghệ Tĩnh, Bình Thạnh,
-Diện tích 30m2 ,4PN


 VIP BÌNH THẠNH- NGAY HÀNG XANH-  3 TẦNG- NHÀ MỚI VÀO Ở NGAY 🌹🌹🌹
✅ Vị trí đẹp, ngay phường 25 cũ Bình Thạnh, cách hẻm xem hơi 10m. Liên thông khu đường XVNT 
✅ Kết cấu 1 trệt 1 lửng 1 lầu, 4 phòng ngủ, 3 toilét.
✅ Nội thất xịn đầy đủ, vào là ở ngay, tiện ích xung quanh ko thiếu thứ gì.
✅ Sổ sạch đẹp, pháp lý sạch, ccmb ngay.
✅ Gần các trường ĐH lớn như HUTECH, Hồng Bàng, UEF, ĐH Giao Thông, Ngoại Thương...",30.0,30.0,3.1937438845342623,3.0,4.0,nha_ngo_hem,da_co_so,chua_xac_dinh,dong_nam,hem_xe_hoi,phuong_26_quan_binh_thanh,phuong_binh_thanh,5.68
BÁN ĐẤT HIẾM CÒN SÓT LẠI BÌNH QUỚI THANH ĐA P28QTHẠNH-VIEW LANMARK81,"-BÁN LÔ ĐẤT HIẾM CÒN SÓT LẠI BÌNH QUỚI THANH ĐA P28 BÌNH THẠ NH- VIEW LANMARK 81 

🌹 Hiện tại có nhà cấp 4, đang cho thuê 5tr/tháng. ,
🍎 Đường bê tông, khu bàn cờ ,
🍑 Phù hợp mua giữ tiền hay cho thuê,
🫐 Sổ vuông A4, công chứng ngay. ,
✍️ Lưu ý: Chủ xác định bán đất theo hiện trạng,
🧭 Hướng : Đông Nam,",60.0,60.0,4.516635916254486,1.0,2.0,nha_ngo_hem,da_co_so,chua_xac_dinh,dong_nam,hien_trang_khac,phuong_28_quan_binh_thanh,phuong_binh_quoi,5.58
"Nhà 2 tầng,SHR,Sát mặt tiền Phan Văn Trị ,Dtích 37m2,","-Bán nhà 2 tầng Sát mặt tiền Phan Văn Trị ,P11, Gò vấp 
-Diện tích 37m2 ,2 tầng , 1trệt 1 lầu, 2PN 
-Giá 4.860 tỷ 

Sát Mặt tiền - 2 Tầng - 37m2 
- Trung Tâm Bình Thạnh
👉 1 Trệt 1 lầu: 2 PN, 2Wc
👉 Vị Trí: sát chợ cây Thị, đi bộ vài bước chân, tiện ích vây quanh
👉 Hẻm sạch sẽ An ninh, dân trí cao
📖 Sổ hồng riêng, hoàn công đủ, công chứng ngay.
Liên hệ *** Kim Quí",37.0,37.0,3.5468295701936396,2.0,2.0,nha_ngo_hem,da_co_so,chua_xac_dinh,nam,hien_trang_khac,phuong_11_quan_binh_thanh,phuong_binh_loi_trung,4.86
"Nhà nhà Nơ Trang Long,P12, Bình Thạnh -Diện tích 37m2,Ngang 5.5 x 7.3","-Nhà nhà Nơ Trang Long,P12, Bình Thạnh 
-Diện tích 37m2,2PN, 2WC 
-Giá 4,450 tỷ 

Chính chủ 1 đời . = 37m2 công nhận đủ 36,8 m2 không lộ giới không quy hoạch.
 + kết cấu 1 trệt 1 lầu đúc kiên cố chắc chắn . 
Trừ sẵn cầu thang lên 1 tầng nữa + sân thượng. + hiện tại 1 trệt 1 lầu , phòng khách ,phòng bếp . 2pn , 2wc. Sân phơi. 
Sổ hồng riêng,
Công chứng ngay",37.0,37.0,3.5468295701936396,1.0,2.0,nha_ngo_hem,da_co_so,chua_xac_dinh,bac,hien_trang_khac,phuong_12_quan_binh_thanh,phuong_binh_thanh,4.45
"DTich:60m2,sổ A4,(4 x 15),Võ Duy Ninh,SHR, Sát chợ,Sát Q1","-Nhà Võ Duy Ninh,P22, Bình Thạnh 
-Diện tích 60m2 ( 4x15m)2PN-Vuông A4
-Bán 5,45 tỷ 

View Land mark - Khu víp Nhất Bình Thạnh - Đi bộ qua Quận 1 - Điện Biên phủ -Võ Duy Ninh Phường 22 Bình Thạnh 
👉 1 Trệt 1 lầu ( 3 PN 2WC )
👉 Hẻm sạch sẽ An ninh, dân trí cao
📖 Sổ hồng riêng, công chứng ngay.
💥 Nhà bán hiện trạng
Liên hệ Kim Quí ***",60.0,60.0,4.0,2.0,2.0,nha_ngo_hem,da_co_so,chua_xac_dinh,dong_bac,hien_trang_khac,phuong_22_quan_binh_thanh,phuong_thanh_my_tay,5.45
"BÁN NHÀ NGUYỄN VĂN ĐẬU P5 52,6 m2,","HXH - GẦN MẶT TIỀN - DIỆN TÍCH LỚN +trệt 1 lầu. BTCT.
+ Nhà ở 3PN 2WC.
+ HXH, gần mặt tiền
+  Nhà hẻm thông thoáng ,vị trí đẹp, khu víp
+ Pháp lý chuẩn, sổ nở hậu. công chứng ngay.",52.6,52.6,4.228947859692763,2.0,2.0,nha_ngo_hem,da_co_so,chua_xac_dinh,tay_bac,hien_trang_khac,phuong_5_quan_binh_thanh,phuong_binh_loi_trung,4.7
